,name,sector,price,pe_ratio,ps_ratio,pb_ratio,dividend_yield,eps,revenue_growth_5y,roe,debt_ratio,score
MSFT,Microsoft Corporation,Technology,388.56,38.508221725515114,13.846005784874471,12.641532161041727,0.6414629506176681,11.86,14.337072777370349,32.828137978299814,13.106569588197509,5
AMZN,"Amazon.com, Inc.",Consumer Cyclical,197.95,38.78057436537942,3.601597391054911,8.034659125083051,0.0,5.66,18.307756163250772,20.71825715984194,20.947552704938758,5
GOOG,Alphabet Inc.,Communication Services,167.62,23.534402247237264,6.7317031815189505,7.248026000015074,0.31249240252197813,8.04,17.250087526752424,30.797578472025695,5.013592267510038,5
META,"Meta Platforms, Inc.",Communication Services,607.6,23.792211994868502,9.01929070339998,8.123667931470623,0.34185215145177233,24.61,19.057645632356476,34.144231453648494,17.77188521086454,5
NVDA,NVIDIA Corporation,Technology,121.67,39.89850576289792,22.28252833398469,36.655906563969396,0.02868144682836331,2.97,70.88272049935998,91.87288060811576,9.202426501554646,5
TSLA,"Tesla, Inc.",Consumer Cyclical,249.98,182.98377097729514,13.28219797318047,17.79570062951737,0.0,2.23,34.01519630150295,9.725289043106168,6.728106823953469,5
JPM,JPMorgan Chase & Co.,Financial Services,232.44,11.781952916830566,4.128180880643344,1.998220691035451,2.1458767415338236,19.79,7.722711424540149,16.96001253052866,11.349790422437815,5
JNJ,Johnson & Johnson,Healthcare,162.81,24.531663728138774,3.884918904313169,4.826722366764582,3.4263369804246007,5.84,1.6669762509184183,19.675479087984332,20.34046995069515,4
AAPL,Apple Inc.,Technology,213.49,37.287278415656736,8.93822887866815,61.37243774486391,0.43585983369965176,6.11,9.157357252286394,164.59350307287096,29.21502548084827,2
V,Visa Inc.,Financial Services,331.8,22.57478346755812,12.405888493013416,11.388045838975904,0.9461649636482612,9.74,9.688105508504588,50.4458696374275,22.046111034694373,2
